source,network
albusinessdaily,UNKNOWN
auburntimes,metric_media
baldwintimes,metric_media
decaturtimes,metric_media
ecalabamanews,metric_media
gadsdentoday,metric_media
huntsvilleleader,metric_media
jeffersonreporter,metric_media
mobilecourant,metric_media
nealabamanews,metric_media
northbirminghamtimes,metric_media
nwalabamanews,metric_media
riverregiontimes,metric_media
shoalstoday,metric_media
southalabamatimes,metric_media
southbirminghamtimes,metric_media
tuscaloosaleader,metric_media
wcalabamanews,metric_media
wiregrasstimes,metric_media
yellowhammertimes,metric_media
akbusinessdaily,UNKNOWN
interioralaskanews,metric_media
lastfrontiernews,metric_media
matsutimes,metric_media
northalaskanews,metric_media
scalaskanews,metric_media
sealaskanews,metric_media
swalaskanews,metric_media
angolabusinessdaily,UNKNOWN
azbusinessdaily,UNKNOWN
azcatholictribune,UNKNOWN
coconinonews,metric_media
eastarizonanews,metric_media
grandcanyontimes,metric_media
mohavetoday,metric_media
nevalleytimes,metric_media
northpimanews,metric_media
nwvalleytimes,metric_media
phxreporter,metric_media
pinaltoday,metric_media
searizonanews,metric_media
sevalleytimes,metric_media
southpimanews,metric_media
surprisejournal,UNKNOWN
swarizonanews,metric_media
swvalleytimes,metric_media
tucsonstandard,metric_media
yavapainews,metric_media
arbusinessdaily,UNKNOWN
bentontimes,metric_media
eastlittlerocktimes,metric_media
fayettevillestandard,metric_media
fortsmithtimes,metric_media
hotspringstimes,metric_media
jonesborotimes,metric_media
lowedeltanews,metric_media
naturalstatenews,metric_media
ncarkansasnews,metric_media
northlittlerocktimes,metric_media
nwarkansasnews,metric_media
pulaskitimes,metric_media
swarkansastimes,metric_media
upperdeltanews,metric_media
balkanbusinesswire,UNKNOWN
antelopevalleytoday,metric_media
cabusinessdaily,UNKNOWN
calaverasguide,franklin_archer
centralalamedanews,metric_media
centraloctimes,metric_media
chicotimes,metric_media
coachellatoday,metric_media
eastalamedanews,metric_media
eastcontracostanews,metric_media
eastsandiegonews,metric_media
eastsbvtimes,metric_media
eastsfvtoday,metric_media
eastsierranews,metric_media
eastventuranews,metric_media
fresnoleader,metric_media
goldcountrytoday,metric_media
goldenstatetoday,metric_media
imperialcanews,metric_media
kerncountytimes,metric_media
kingscountytimes,metric_media
laharbornews,metric_media
laketahoesun,metric_media
laxleader,metric_media
marinleader,metric_media
mercedtimes,metric_media
montereytimes,metric_media
necalinews,metric_media
nesacramentonews,metric_media
norcalrecord,UNKNOWN
northcoastcanews,UNKNOWN
northinlandnews,metric_media
northoctimes,metric_media
northsactoday,UNKNOWN
northsfvtoday,metric_media
northsgvnews,metric_media
nwlatimes,metric_media
nwriversidenews,metric_media
oaklandrecord,UNKNOWN
pomonavalleynews,metric_media
reddingtoday,metric_media
redwoodempirenews,metric_media
sacramentostandard,metric_media
sandiegorecord,UNKNOWN
sanfransun,UNKNOWN
sanjoaquintimes,metric_media
sanjosestandard,metric_media
sanmateosun,metric_media
santaclaratoday,metric_media
santacruzstandard,metric_media
selatimes,metric_media
sfvtoday,metric_media
sgvstandard,metric_media
sloreporter,metric_media
socalrecord,UNKNOWN
solanosun,metric_media
southalamedanews,metric_media
southbayleader,metric_media
southbaysdnews,metric_media
southoctimes,metric_media
southsactoday,UNKNOWN
southsfbaynews,metric_media
southsfvtoday,metric_media
southsgvnews,metric_media
stanislausnews,metric_media
swriversidenews,metric_media
tularetimes,metric_media
verdugosnews,metric_media
victorvalleytimes,metric_media
westcontracostanews,metric_media
westeldoradonews,metric_media
westlatimes,metric_media
westoctimes,metric_media
westsbvtimes,metric_media
westsfvtoday,metric_media
westsgvnews,metric_media
westventuranews,metric_media
winecountrytimes,metric_media
yubasuttertimes,metric_media
torontobusinessdaily,UNKNOWN
adamscountytimes,metric_media
boulderleader,metric_media
centennialstatenews,metric_media
centralcoloradonews,metric_media
cobusinessdaily,UNKNOWN
denvercitywire,metric_media
eastarapahoenews,metric_media
grandjunctiontimes,metric_media
larimernews,metric_media
necoloradonews,metric_media
northjeffconews,UNKNOWN
secoloradonews,metric_media
sedenvernews,metric_media
southjeffconews,UNKNOWN
springstimes,metric_media
swcoloradonews,metric_media
westarapahoenews,metric_media
cistranfinance,UNKNOWN
bridgeporttimes,metric_media
constitutionstatenews,metric_media
ctbusinessdaily,UNKNOWN
hartfordreporter,metric_media
housatonicvalleynews,metric_media
litchfieldhillstoday,metric_media
naugatucktimes,metric_media
neconnnews,UNKNOWN
nwconnnews,UNKNOWN
scconnnews,UNKNOWN
seconnnews,UNKNOWN
swconnnews,UNKNOWN
debusinessdaily,UNKNOWN
firststatetimes,metric_media
kentcountytoday,metric_media
northnewcastlenews,metric_media
southnewcastlenews,metric_media
sussexreview,metric_media
apopkatimes,UNKNOWN
baldwinparktoday,UNKNOWN
brevardsun,metric_media
centralbrowardnews,metric_media
claycotimes,UNKNOWN
collegeparktoday,UNKNOWN
doctorphillipstoday,UNKNOWN
duvaltimes,metric_media
easthillsboroughnews,metric_media
eastpanhandlenews,metric_media
eastvolusianews,metric_media
emeraldcoasttimes,metric_media
flarecord,UNKNOWN
flbusinessdaily,UNKNOWN
flcatholictribune,UNKNOWN
goldenrodnews,UNKNOWN
gothatoday,UNKNOWN
hernandoreporter,metric_media
hunterscreeknews,UNKNOWN
keywestreporter,metric_media
lakebuenavistanews,UNKNOWN
lakebutlernews,UNKNOWN
lakehartnews,UNKNOWN
lakenonatoday,UNKNOWN
leetoday,metric_media
maitlandtoday,UNKNOWN
manateereview,metric_media
miamicourant,metric_media
naplesstandard,metric_media
naturecoasttimes,metric_media
ncfloridanews,metric_media
nefloridanews,metric_media
northbrowardnews,metric_media
northlaketimes,metric_media
northmianews,UNKNOWN
northorlandonews,metric_media
northpalmbeachtoday,metric_media
northpanhandlenews,metric_media
northpinellasnews,metric_media
ocalastandard,metric_media
ocoeetoday,UNKNOWN
okeechobeetimes,metric_media
orlandostandard,metric_media
palmcoasttimes,metric_media
panamacityreporter,metric_media
pascoreporter,metric_media
pensacolatimes,metric_media
pinellastimes,metric_media
polktimes,metric_media
sarasotareview,metric_media
southbrowardnews,metric_media
southlaketoday,metric_media
southmianews,UNKNOWN
southorlandonews,metric_media
southpalmbeachtoday,metric_media
southpinellastimes,metric_media
stpetestandard,metric_media
sumtertimes,metric_media
sunshinesentinel,metric_media
tallahasseesun,metric_media
tamparepublic,metric_media
treasurecoastsun,metric_media
wadeviewparknews,UNKNOWN
westflnews,UNKNOWN
westhillsboroughnews,metric_media
westvolusianews,metric_media
windermeretoday,UNKNOWN
albanystandard,metric_media
athensreporter,metric_media
atlstandard,metric_media
centralgeorgianews,metric_media
coastalganews,metric_media
cobbreporter,metric_media
dekalbganews,metric_media
ecgeorgianews,UNKNOWN
gabusinessdaily,UNKNOWN
georgiamountainnews,metric_media
macontimes,metric_media
ncgeorgianews,metric_media
neatlantanews,metric_media
northfultontoday,metric_media
northgwinnettnews,metric_media
nwatlantanews,metric_media
nwgeorgianews,metric_media
peachtreetimes,metric_media
romereporter,metric_media
savannahstandard,metric_media
seatlantanews,metric_media
segeorgianews,metric_media
southatlantanews,metric_media
southfultontoday,metric_media
southgeorgiatimes,metric_media
southgwinnettnews,metric_media
swgeorgianews,metric_media
warnerrobinstoday,metric_media
wcgeorgianews,metric_media
